ClusterID,StartNode,EndNode
4,"Introduction to Moles - AP Chem Unit 1, Topic 1a","Composition of Pure Substances - AP Chem Unit 1, Topic 3"
4,"Introduction to Moles - AP Chem Unit 1, Topic 1a","Reaction Stoichiometry Made Easy - AP Chemistry Unit 4, Topic 5a"
4,"Molar Mass and its Applications - AP Chem Unit 1, Topic 1b","Stoichiometry Problems - Limiting Reactant & Percent Yield - AP Chem Unit 4, Topic 5b"
4,"Molar Mass and its Applications - AP Chem Unit 1, Topic 1b","Solving Problems With Solution Stoichiometry - AP Chem Unit 4, Topic 5d"
4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2","Composition of Mixtures - AP Chem, Unit 1, Topic 4"
4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2","Spectrophotometry and the Beer-Lambert Law - AP Chem Unit 3, Topic 13"
4,"Composition of Pure Substances - AP Chem Unit 1, Topic 3","Composition of Mixtures - AP Chem, Unit 1, Topic 4"
4,"Composition of Pure Substances - AP Chem Unit 1, Topic 3","Visually Representing Reactions / Physical vs Chemical Changes - AP Chem Unit 4, Topics 3-4"
4,"Composition of Mixtures - AP Chem, Unit 1, Topic 4","Chromatography, Distillation, & Solubility - AP Chem Unit 3, Topics 9-10"
4,"Solids, Liquids, & Gases - AP Chem Unit 3, Topic 3","Boyle's Law, Charles' Law, Gay-Lussac's Law - AP Chem Unit 3, Topic 4A"
4,"Solids, Liquids, & Gases - AP Chem Unit 3, Topic 3","Dalton's Law of Partial Pressures / Gas Laws - AP Chem Unit 3, Topic 4c"
4,"Ideal Gas Law PV=nRT - AP Chem Unit 3, Topic 4B","Kinetic-Molecular Theory & Graham's Law - AP Chem Unit 3, Topic 5"
4,"Dalton's Law of Partial Pressures / Gas Laws - AP Chem Unit 3, Topic 4c","Deviation from the Ideal Gas Law - AP Chem Unit 3, Topic 6"
4,"Dalton's Law of Partial Pressures / Gas Laws - AP Chem Unit 3, Topic 4c","Visually Representing Reactions / Physical vs Chemical Changes - AP Chem Unit 4, Topics 3-4"
4,"Kinetic-Molecular Theory & Graham's Law - AP Chem Unit 3, Topic 5","Deviation from the Ideal Gas Law - AP Chem Unit 3, Topic 6"
4,"Solutions and Mixtures - AP Chemistry Unit 3, Topic 7","Representations of Solutions - AP Chem Unit 3, Topic 8A"
4,"Solutions and Mixtures - AP Chemistry Unit 3, Topic 7","Basics of Solution Stoichiometry - AP Chem Unit 4, Topic 5c"
4,"Representations of Solutions - AP Chem Unit 3, Topic 8A","Spectrophotometry and the Beer-Lambert Law - AP Chem Unit 3, Topic 13"
4,"Reaction Stoichiometry Made Easy - AP Chemistry Unit 4, Topic 5a","Solving Problems With Solution Stoichiometry - AP Chem Unit 4, Topic 5d"
2,"Atomic Structure & Coulomb's Law - AP Chem Unit 1, Topic 5a","Electron Configurations - AP Chem Unit 1, Topic 5b"
2,"Atomic Structure & Coulomb's Law - AP Chem Unit 1, Topic 5a","Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B"
2,"Electron Configurations - AP Chem Unit 1, Topic 5b","Photoelectron Spectroscopy - AP Chem Unit 1, Topic 6"
2,"Electron Configurations - AP Chem Unit 1, Topic 5b","Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8"
2,"Periodic Trends: Ionization Energy - AP Chem Unit 1, Topic 7a","Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8"
2,"Periodic Trends: Atomic Radius & Ionic Radius - AP Chem Unit 1, Topic 7b","Periodic Trends: Electronegativity - AP Chem Unit 1, Topic 7c"
2,"Periodic Trends: Electronegativity - AP Chem Unit 1, Topic 7c","Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8"
2,"Types of Chemical Bonds - AP Chem Unit 2, Topic 1","Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B"
2,"Types of Chemical Bonds - AP Chem Unit 2, Topic 1","Types of Intermolecular Forces - AP Chem Unit 3, Topic 1B"
2,"Energy, Ionic Solids, Metals, & Alloys - AP Chem Unit 2, Topics 2-4","Electrolytes, Nonelectrolytes, & Dissociation into Ions - AP Chem Unit 3, Topic 8B"
2,"Lewis Electron-Dot Diagrams - AP Chem Unit 2, Topic 5A","Resonance and Formal Charge - AP Chem Unit 2, Topic 6"
2,"Lewis Electron-Dot Diagrams - AP Chem Unit 2, Topic 5A","Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A"
2,"Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B","Resonance and Formal Charge - AP Chem Unit 2, Topic 6"
2,"Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A","VSEPR Theory & Molecular Geometry - AP Chem Unit 2, Topic 7B"
2,"Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A","Waves, Light, and Photons - AP Chem Unit 3, Topic 11"
2,"Intermolecular Forces - London dispersion forces - AP Chem Unit 3, Topic 1A","Properties of Solids - AP Chem Unit 3, Topic 2"
2,"Types of Intermolecular Forces - AP Chem Unit 3, Topic 1B","Properties of Solids - AP Chem Unit 3, Topic 2"
2,"Types of Intermolecular Forces - AP Chem Unit 3, Topic 1B","Electrolytes, Nonelectrolytes, & Dissociation into Ions - AP Chem Unit 3, Topic 8B"
2,"Waves, Light, and Photons - AP Chem Unit 3, Topic 11","The Nature of Light - Waves, Photons, & Energy - AP Chem Unit 3, Topic 12"
0,"Introduction for Reactions & Equations - AP Chem Unit 4, Topics 1-2a","Predicting Products of Reactions - AP Chem Unit 4, Topic 2c"
0,"Introduction for Reactions & Equations - AP Chem Unit 4, Topics 1-2a","Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c"
0,"Writing Net Ionic Equations - AP Chemistry Unit 4, Topic 2b","Predicting Products of Reactions - AP Chem Unit 4, Topic 2c"
0,"Types of Chemical Reactions - AP Chemistry Unit 4, Topic 7A","How to Determine Oxidation State for ANY Atom - AP Chem Unit 4, Topic 7b"
0,"Types of Chemical Reactions - AP Chemistry Unit 4, Topic 7A","Introduction to Redox Reactions - AP Chem Unit 4, Topic 9A"
0,"How to Determine Oxidation State for ANY Atom - AP Chem Unit 4, Topic 7b","Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c"
0,"How to Determine Oxidation State for ANY Atom - AP Chem Unit 4, Topic 7b","Electrochemistry and Galvanic Cells - AP Chem Unit 9, Topic 7a"
0,"Redox Reactions: Halogens, Disproportionation, & Acids - AP Chem Unit 4, Topic 9b","Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c"
0,"Electrochemistry and Galvanic Cells - AP Chem Unit 9, Topic 7a","Electrochemistry and Galvanic Cells - Practice Problems - AP Chem Unit 9, Topic 7b"
3,"Introduction to Titration - AP Chemistry Unit 4, Topic 6","pH and pKa - Analyzing Titration Curves - AP Chem Unit 8, Topic 7"
3,"Introduction to Acid-Base Chemistry - AP Chemistry Unit 4, Topic 8","Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4"
3,"Acids, Bases, and the pH Concept - AP Chem Unit 8, Topic 1a","How to Calculate pH & pOH for Strong Acids & Bases - AP Chem Unit 8, Topic 2"
3,"Acids, Bases, and the pH Concept - AP Chem Unit 8, Topic 1a","What You Need to Know About Buffers - AP Chem Unit 8, Topics 8-10"
3,"Calculations With pH and pOH - AP Chemistry Unit 8, Topic 1B","How to Calculate pH & pOH for Strong Acids & Bases - AP Chem Unit 8, Topic 2"
3,"Let's Solve Weak Acid Problems! - AP Chemistry Unit 8, Topic 3a","Let's Solve Weak Base Problems! - AP Chem Unit 8, Topic 3c"
3,"Weak Acids - Problem Walkthroughs - AP Chem Unit 8, Topic 3b","Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4"
3,"Weak Acids - Problem Walkthroughs - AP Chem Unit 8, Topic 3b","Molecular Structure of Acids and Bases - AP Chem Unit 8, Topic 6"
3,"Let's Solve Weak Base Problems! - AP Chem Unit 8, Topic 3c","Molecular Structure of Acids and Bases - AP Chem Unit 8, Topic 6"
3,"Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4","What You Need to Know About Buffers - AP Chem Unit 8, Topics 8-10"
3,"Acid-Base Titrations - What You Should Know - AP Chem Unit 8, Topic 5a","Special Types of Acid-Base Titrations - AP Chem Unit 8, Topic 5c"
3,"Acid-Base Titrations - What You Should Know - AP Chem Unit 8, Topic 5a","pH and pKa - Analyzing Titration Curves - AP Chem Unit 8, Topic 7"
3,"Acid-Base Titrations - What You Should Know - AP Chem Unit 8, Topic 5a","What You Need to Know About Buffers - AP Chem Unit 8, Topics 8-10"
3,"Analyzing Titrations of Weak Acids & Strong Bases - AP Chem Unit 8, Topic 5b","pH and pKa - Analyzing Titration Curves - AP Chem Unit 8, Topic 7"
1,"Reaction Rates & Introduction to Kinetics - AP Chem Unit 5, Topic 1","How Reactions Happen: Steps, Collisions, & Energy - AP Chem Unit 5, Topics 4, 5, and 6"
1,"Reaction Rates & Introduction to Kinetics - AP Chem Unit 5, Topic 1","The Nernst Equation and Nonstandard Conditions - AP Chem Unit 9, Topic 9"
1,"Introduction to Rate Laws - AP Chem Unit 5, Topic 2","Catalysis in Chemical Reactions - AP Chem Unit 5, Topic 11"
1,"Introduction to Rate Laws - AP Chem Unit 5, Topic 2","Working With Very Small Equilibrium Constants - The 5% Rule - AP Chem Unit 7, Topic 7b #apchem"
1,"Concentration Changes Over Time - AP Chem Unit 5, Topic 3","How Reactions Happen: Steps, Collisions, & Energy - AP Chem Unit 5, Topics 4, 5, and 6"
1,"Reaction Mechanisms & Multistep Reactions - AP Chem Unit 5, Topics 7-10","Catalysis in Chemical Reactions - AP Chem Unit 5, Topic 11"
1,"Reaction Mechanisms & Multistep Reactions - AP Chem Unit 5, Topics 7-10","Introduction to Solubility Equilibria - AP Chem Unit 7, Topic 11a #apchemistry"
1,Introduction to Thermodynamics - AP Chemistry Unit 6 Topic 1,"Phase Changes and Energy - AP Chemistry Unit 6, Topic 5"
1,"How Heat Flows in Chemical Systems - AP Chem Unit 6, Topics 2-3","Phase Changes and Energy - AP Chemistry Unit 6, Topic 5"
1,"Calorimetry, Specific Heat Capacity, and Q=MCΔT - AP Chem Unit 6, Topic 4","Phase Changes and Energy - AP Chemistry Unit 6, Topic 5"
1,"Calorimetry, Specific Heat Capacity, and Q=MCΔT - AP Chem Unit 6, Topic 4","How to Calculate Enthalpy of Reaction - AP Chem Unit 6, Topic 6a"
1,"Calorimetry, Specific Heat Capacity, and Q=MCΔT - AP Chem Unit 6, Topic 4","Using Enthalpy of Formation to Calculate ΔH - AP Chem Unit 6, Topic 8"
1,"How to Calculate Enthalpy of Reaction - AP Chem Unit 6, Topic 6a","Calculating ΔH Using Bond Enthalpies - AP Chem Unit 6, Topic 7"
1,"Problem Walkthroughs - Enthalpy of Reaction - AP Chem Unit 6, Topic 6b","Calculating ΔH Using Bond Enthalpies - AP Chem Unit 6, Topic 7"
1,"Problem Walkthroughs - Enthalpy of Reaction - AP Chem Unit 6, Topic 6b","Calculating ΔG with Thermodynamic Coupling - AP Chem Unit 9, Topic 6"
1,"Problem Walkthroughs - Enthalpy of Reaction - AP Chem Unit 6, Topic 6b","Electrochemistry - Cell Potential and ΔG - AP Chem Unit 9, Topic 8"
1,"Calculating ΔH Using Bond Enthalpies - AP Chem Unit 6, Topic 7","Hess's Law and ΔH - Let's Practice! AP Chemistry Unit 6, Topic 9"
1,"What Is Equilibrium? AP Chemistry Unit 7, Topic 1 Daily Video","Le Chatelier's Principle - AP Chemistry Unit 7, Topic 9 #apchem #apchemistry #equilibriumchemistry"
1,Writing an Equilibrium Constant Expression - AP Chem Unit 7 Topics 2-3 #apchem #apchemistry,"Magnitude of the Equilibrium Constant - AP Chem Unit 7, Topics 4-5"
1,Writing an Equilibrium Constant Expression - AP Chem Unit 7 Topics 2-3 #apchem #apchemistry,"Manipulating Reactions and Its Effect on the Equilibrium Constant - AP Chem Unit 7, Topic 6"
1,Writing an Equilibrium Constant Expression - AP Chem Unit 7 Topics 2-3 #apchem #apchemistry,Solubility Product Constant Problems - Let's Practice! AP Chem Unit 7 Topic 11b #solubilityproduct
1,"Magnitude of the Equilibrium Constant - AP Chem Unit 7, Topics 4-5","Equilibrium Practice Problems - The ICE Box Method - AP Chem Unit 7, Topic 7a"
1,"Manipulating Reactions and Its Effect on the Equilibrium Constant - AP Chem Unit 7, Topic 6","Le Chatelier's Principle - AP Chemistry Unit 7, Topic 9 #apchem #apchemistry #equilibriumchemistry"
1,"Equilibrium Practice Problems - The ICE Box Method - AP Chem Unit 7, Topic 7a","Working With Very Small Equilibrium Constants - The 5% Rule - AP Chem Unit 7, Topic 7b #apchem"
1,"Working With Very Small Equilibrium Constants - The 5% Rule - AP Chem Unit 7, Topic 7b #apchem","Representations of Equilibrium - AP Chem Unit 7, Topic 8"
1,"Le Chatelier's Principle - AP Chemistry Unit 7, Topic 9 #apchem #apchemistry #equilibriumchemistry","Kinetic Control - ΔG and the Equilibrium Constant - AP Chem Unit 9, Topics 4-5"
1,"Reaction Quotient & Le Chatelier's Principle - AP Chem Unit 7, Topic 10",Solubility Product Constant Problems - Let's Practice! AP Chem Unit 7 Topic 11b #solubilityproduct
1,"Introduction to Solubility Equilibria - AP Chem Unit 7, Topic 11a #apchemistry","Common-Ion Effect & Final Equilibrium Topics - AP Chem Unit 7, Topics 12-14"
1,"Common-Ion Effect & Final Equilibrium Topics - AP Chem Unit 7, Topics 12-14","Electrolysis and Faraday's Law Practice Problems - AP Chem Unit 9, Topic 10"
1,"What You Need to Know About Entropy - AP Chem Unit 9, Topic 1","How to Calculate ΔS Change in Entropy - AP Chem Unit 9, Topic 2"
1,"How to Calculate ΔS Change in Entropy - AP Chem Unit 9, Topic 2","How to Tell If a Process Is Thermodynamically-Favored - AP Chem Unit 9, Topic 3a"
1,"How to Calculate ΔS Change in Entropy - AP Chem Unit 9, Topic 2","How to Calculate ΔG Gibbs Free Energy - AP Chem Unit 9, Topic 3b"
1,"How to Calculate ΔG Gibbs Free Energy - AP Chem Unit 9, Topic 3b","Calculating ΔG with Thermodynamic Coupling - AP Chem Unit 9, Topic 6"
1,"Electrochemistry - Cell Potential and ΔG - AP Chem Unit 9, Topic 8","The Nernst Equation and Nonstandard Conditions - AP Chem Unit 9, Topic 9"
1,"The Nernst Equation and Nonstandard Conditions - AP Chem Unit 9, Topic 9","Electrolysis and Faraday's Law Practice Problems - AP Chem Unit 9, Topic 10"
